"Taxa","Site","Species"
"Birds","South","Falco tinnunculus"
"Birds","South","Columba palumbus"
"Birds","South","Anthus pratensis"
"Birds","South","Corvus corax"
"Birds","South","Turdus philomelos"
"Birds","South","Aquila chrysaetos"
"Birds","South","Certhia familiaris"
"Birds","South","Troglodytes troglodytes"
"Birds","South","Aegithalos caudatus"
"Birds","South","Erithacus rubecula"
"Birds","North","Anthus pratensis"
"Birds","North","Columba palumbus"
"Birds","North","Motacilla alba"
"Birds","North","Erithacus rubecula"
"Birds","North","Cyanistes caeruleus"
"Birds","North","Coloeus monedula"
"Birds","North","Turdus spp"
"Birds","North","Periparus ater"
"Birds","North","Aquila chrysaetos"
"Birds","North","Corvus corone"
"Birds","North","Turdus philomelos"
"Birds","North","Alauda arvensis"
"Birds","North","Falco tinnunculus"
