"Taxa","Site","Order"
"Aquatic Invertebrates","South","Oligochaeta"
"Aquatic Invertebrates","South","Diptera"
"Aquatic Invertebrates","South","Plecoptera"
"Aquatic Invertebrates","South","Coleoptera"
"Aquatic Invertebrates","South","Trichoptera"
"Aquatic Invertebrates","South","Ephemeropltera "
"Aquatic Invertebrates","South","Hemiptera"
"Aquatic Invertebrates","South","Odonata"
"Aquatic Invertebrates","North","Trichoptera"
"Aquatic Invertebrates","North","Coleoptera"
"Aquatic Invertebrates","North","Oligochaeta"
"Aquatic Invertebrates","North","Odonata"
"Aquatic Invertebrates","North","Plecoptera"
"Aquatic Invertebrates","North","Ephemeroptera"
